AIC,Name,Type,MonthEnd,Code,TA,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,MonthendMidPrice,CurrYrRev,Rev (splits only),Rev (splits only),Shares,SharesIssued,SharesPurch,TryShares,SellbelowNAV,Cash,Gearing,Unlisted,PermLoss,Perffee,ShHolderFunds for share,Par, Par, Par, Par, Par, Par, Par, Par, Par, Par,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,PFY,Regional distribution,,,,,,,Additional geographic,,,,,,,CFI Exposure,,,,,,CCY Exposure,,,,,,Flags,Add P/F,,,,,,,AIC Cat 2,Unit1,Unit1,Unit1,Unit1,Unit2,Unit2,Unit2,Unit2,Unit2,Unit2,FootNote,FairValue,ShareNote
Category,Fund,Share,Date,SEDOL,TotalAssets,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,Price,CurrYrRev,Res (splits only),Res% (splits only),NumberShares,SharesIssued,SharesPurch,TryShares,SellbelowNAV,Cash,Gearing,Unlisted,PermLoss,Perffee,ShHolder Funds for share,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,CFI,Japan ,Hong Kong,Korea ,Taiwan ,Singa pore,Other , , , , , , , ,Japan ,Hong Kong,Korea ,Taiwan ,Singa pore,Other ,Japan ,Hong Kong,Korea ,Taiwan ,Singa pore,Other ,Flags,,,,,,,,AIC Cat 2,Name,in issue,Perf NAV,Pub NAV,Gearing,Name,in issue,NAV Par,NAV Fair,Gearing,FootNote,Note,
Venture Capital Trusts,Eclipse VCT 2,Ordinary Share,31/01/2007,B05Q9S3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venture Capital Trusts,Eclipse VCT 3,Ordinary Share,31/01/2007,B0FXRZ7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venture Capital Trusts,Eclipse VCT 4,Ordinary Share,31/01/2007,B0FXS09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venture Capital Trusts,Electra Kingsway VCT,Ordinary Share,31/01/2007,3116153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venture Capital Trusts,Electra Kingsway VCT 2,Ordinary Share,31/01/2007,B031G67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venture Capital Trusts,Electra Kingsway VCT 3,Ordinary Share,31/01/2007,B0LHSD8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venture Capital Trusts,First State Investments AIM VCT,Ordinary Share,31/01/2007,B05N8X2,30035329,0,0,0,0,0,0,0,0,108,-151303,,,23908229,0,0,0,N/A,-9,100,,,,30035329,125.63,,,,,124.99,,,,,125.63,,,,,124.99,,,,,0.58,-9,108,0,1,0,0,0,-9,102,6,0,0,1,0,100,0,0,0,0,0,108,0,1,0,0,-9,,0,0,0,0,0,0,0
Venture Capital Trusts,Foresight 2 VCT,Ordinary Share,31/01/2007,B03CKY6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venture Capital Trusts,Foresight 2 VCT C shares,Ordinary Share,31/01/2007,B1GGVY9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venture Capital Trusts,Foresight 3 VCT,Ordinary Share,31/01/2007,B083776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venture Capital Trusts,Foresight 4 VCT,Ordinary Share,31/01/2007,B07YBS9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venture Capital Trusts,Foresight VCT,Ordinary Share,31/01/2007,B1M27S7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venture Capital Trusts,Framlington AIM VCT,Ordinary Share,31/01/2007,B02WQ61,25727244,0,0,0,0,0,0,0,0,101,66697,,,24967297,0,0,0,N/A,22,100,0,,N,25727244,103.04,,,,,103.31,,,,,103.04,,,,,103.31,,,,,1.74,22,77,0,1,0,0,0,22,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
Venture Capital Trusts,Framlington AIM VCT 2,Ordinary Share,31/01/2007,B0MV7V0,30257015,0,0,0,0,0,0,0,0,99,268407,,,30850277,0,0,0,N/A,66,100,0,,N,30257015,98.08,,,,,98.95,,,,,98.08,,,,,98.95,,,,,3.57,66,34,0,0,0,0,0,66,34,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,,0,0,0,0,0,0,0
Venture Capital Trusts,Guinness Flight VCT,Ordinary Share,31/01/2007,394510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venture Capital Trusts,Invesco Perpetual AiM VCT,Ordinary Share,31/01/2007,B01JDF1,46206104,0,0,0,0,0,0,0,0,97,0,,,43703113,0,0,0,N/A,15,100,0,,N,46206104,105.73,,,,,,,,,,105.73,,,,,,,,,,0.6,15,85,0,0,0,0,0,15,85,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
Venture Capital Trusts,Keydata AIM VCT,Ordinary Share,31/01/2007,B02WHS0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venture Capital Trusts,Keydata AIM VCT C shares,Ordinary Share,31/01/2007,B0LSPY1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venture Capital Trusts,Matrix Income & Growth 2 VCT,Ordinary Share,31/01/2007,923323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venture Capital Trusts,Matrix Income & Growth 2 VCT C shares,Ordinary Share,31/01/2007,B0LKLZ0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venture Capital Trusts,Matrix Income & Growth 3 VCT,Ordinary Share,31/01/2007,B0JMRX8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venture Capital Trusts,Matrix Income & Growth 4 VCT,Ordinary Share,31/01/2007,B1FMDH5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venture Capital Trusts,Matrix Income & Growth VCT,Ordinary Share,31/01/2007,B01WL23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venture Capital Trusts,Murray VCT 4,Ordinary Share,31/01/2007,412285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venture Capital Trusts,Neptune-Calculus Income & Growth VCT,Ordinary Share,31/01/2007,B0523M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venture Capital Trusts,Neptune-Calculus Income & Growth VCT C shares,Ordinary Share,31/01/2007,B0YK8W3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venture Capital Trusts,Noble VCT,Class A Ordinary,31/01/2007,258296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venture Capital Trusts,Northern 2 VCT,Ordinary Share,31/01/2007,535643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venture Capital Trusts,Northern 3 VCT,Ordinary Share,31/01/2007,3115202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venture Capital Trusts,Northern AIM VCT,Ordinary Share,31/01/2007,209368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venture Capital Trusts,Northern Venture Trust VCT,Ordinary Share,31/01/2007,645070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venture Capital Trusts,Northern Venture Trust VCT C shares,Ordinary Share,31/01/2007,B0PR328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venture Capital Trusts,Pennine AIM VCT,Ordinary Share,31/01/2007,680350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venture Capital Trusts,Pennine AIM VCT 5,Ordinary Share,31/01/2007,B05L0T6,20000438,0,0,0,0,0,0,0,0,84.5,452253,,,22592088,0,0,0,N/A,40,100,13,,N,20000438,88.53,,,,,90.53,,,,,88.53,,,,,90.53,,,,,0,40,60,0,0,0,0,0,9,80,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,0,0,0,0,0,0,0
Venture Capital Trusts,Pennine AIM VCT 6,Ordinary Share,31/01/2007,B0LKM13,24284591,0,0,0,0,0,0,0,0,84,344830,,,26669102,0,0,0,N/A,76,100,4,,N,24284591,91.06,,,,,92.35,,,,,91.06,,,,,92.35,,,,,0,76,23,0,0,0,1,0,76,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,0,0,0,0,0,0,0
Venture Capital Trusts,Pennine Downing AIM VCT 2,Ordinary Share,31/01/2007,3051823,9396714,0,0,0,0,0,0,0,0,76,-49235,,,10994925,0,34526,0,N/A,14,100,12,,N,9396714,85.46,,,,,85.02,,,,,85.46,,,,,85.02,,,,,0,14,85,0,0,0,1,0,14,74,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,0,0,0,0,0,0,0
Venture Capital Trusts,Phoenix VCT,Ordinary Share,31/01/2007,3236299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venture Capital Trusts,Phoenix VCT C shares,Ordinary Share,31/01/2007,B0672L9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venture Capital Trusts,ProVen Growth and Income VCT C shares,Ordinary Share,31/01/2007,B0WV9X6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venture Capital Trusts,ProVen Growth and Income VCT,Ordinary Share,31/01/2007,3051801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venture Capital Trusts,ProVen VCT,Ordinary Share,31/01/2007,413880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venture Capital Trusts,Puma VCT,Ordinary Share,31/01/2007,B0634L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venture Capital Trusts,Puma VCT II,Ordinary Share,31/01/2007,B0634N3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venture Capital Trusts,Quester VCT,Ordinary Share,31/01/2007,717429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venture Capital Trusts,Rensburg AIM VCT,Ordinary Share,31/01/2007,572316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venture Capital Trusts,Sitka Health Fund VCT,Ordinary Share,31/01/2007,3019939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venture Capital Trusts,Unicorn AIM VCT,Ordinary Share,31/01/2007,3091830,34142164,0,0,0,0,0,0,0,0,91.5,0,,,31292172,0,450000,0,N/A,6,100,9,,Y,34142164,109.11,,,,,,,,,,109.11,,,,,,,,,,0,6,88,0,6,0,0,0,6,85,3,0,0,0,6,100,0,0,0,0,0,100,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,"11/01/07: Bought back 250,000 shares at 97p, total cost of ú243,716
29/01/07: Bought back 200,000 shares at 90p, total cost of ú180,901"
Venture Capital Trusts,Unicorn AIM VCT II,Ordinary Share,31/01/2007,B03GW19,28067877,0,0,0,0,0,0,0,0,109,0,,,23090581,0,0,0,N/A,10,100,,,Y,28067877,121.56,,,,,,,,,,121.56,,,,,,,,,,0,10,90,0,0,0,0,0,10,88,2,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,/A,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Venture Capital Trusts,Unicorn AIM VCT II C shares,Ordinary Share,31/01/2007,B0M2L66,12711144,0,0,0,0,0,0,0,0,95,12684,,,12499807,0,0,0,N/A,40,100,,,Y,12711144,101.69,,,,,101.79,,,,,101.69,,,,,101.79,,,,,0,40,60,0,0,0,0,0,40,60,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,/A,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Venture Capital Trusts,Unicorn AIM VCT Series 2,Ordinary Share,31/01/2007,3420672,19644028,0,0,0,0,0,0,0,0,117.5,0,,,15665524,0,0,0,N/A,4,100,4,,Y,19644028,125.4,,,,,,,,,,125.4,,,,,,,,,,0,4,96,0,0,0,0,0,4,92,4,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Venture Capital Trusts,Ventus 2 VCT,Ordinary Share,31/01/2007,B0WCHT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venture Capital Trusts,Ventus 3 VCT,Ordinary Share,31/01/2007,B0WCHV3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venture Capital Trusts,Ventus VCT,Ordinary Share,31/01/2007,B03KMY4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
